time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
10:33:30,300,3.00,0,7250,23,31,25,71,58,21,33,32,30
10:33:32,318,3.18,0,7254,23,53,23,32,76,36,19,41,37
10:33:34,339,3.39,0,7249,23,79,27,30,43,32,59,38,31
10:33:36,387,3.87,1,7220,23,46,35,39,40,43,100,42,43
10:33:38,350,3.50,0,7225,23,36,38,42,41,28,72,63,30
10:33:40,292,2.92,0,7231,23,34,29,62,30,21,28,73,16
10:33:42,310,3.10,0,7242,23,25,49,71,32,55,24,22,32
10:33:44,300,3.00,1,7248,23,26,27,26,29,100,37,36,21
10:33:46,317,3.17,0,7234,23,27,40,26,55,77,30,28,33
10:33:48,303,3.03,1,7225,23,25,25,33,80,28,35,60,18
10:33:50,301,3.01,0,7238,23,31,36,33,39,49,25,72,16
10:33:52,322,3.22,1,7230,23,30,30,48,33,82,24,44,31
10:33:54,301,3.01,1,7234,23,29,38,81,31,30,52,23,17
10:33:56,315,3.15,1,7226,23,27,32,32,22,38,100,29,35
10:33:58,373,3.73,1,7241,23,40,36,44,34,27,100,46,46
10:34:00,431,4.31,2,7248,23,43,38,45,48,82,87,36,53
10:34:02,329,3.29,0,7229,23,34,32,52,34,25,32,41,78
10:34:04,309,3.09,1,7234,23,27,26,100,30,31,23,33,39
10:34:06,315,3.15,0,7228,23,30,32,79,48,37,28,26,34
10:34:08,319,3.19,1,7240,23,22,40,46,81,34,31,33,31
10:34:10,330,3.30,0,7244,23,36,32,80,56,25,34,33,34
10:34:12,310,3.10,0,7235,23,28,24,26,77,27,32,51,45
10:34:14,318,3.18,1,7235,23,28,34,37,30,38,22,33,97
10:34:16,305,3.05,1,7239,23,49,32,17,35,30,27,32,82
10:34:18,313,3.13,1,7245,23,81,36,23,24,39,39,27,43
10:34:20,324,3.24,1,7253,23,28,42,31,32,39,86,38,28
10:34:22,308,3.08,1,7238,23,24,34,40,30,36,24,99,22
10:34:24,313,3.13,1,7242,23,34,33,31,27,36,26,100,26
10:34:26,308,3.08,1,7244,23,38,28,29,29,25,32,86,42
10:34:28,318,3.18,1,7232,23,43,37,23,29,29,39,31,86
10:34:30,319,3.19,1,7239,23,100,36,35,35,25,33,26,29
10:34:32,314,3.14,1,7244,23,91,62,25,28,34,22,17,35
10:34:34,322,3.22,1,7253,23,34,47,34,27,28,28,95,28
10:34:36,340,3.40,1,7244,23,38,34,26,41,43,32,90,37
10:34:38,304,3.04,1,7239,23,26,37,25,29,93,28,38,29
10:34:40,310,3.10,1,7242,23,29,36,20,100,28,36,24,37
10:34:42,311,3.11,1,7251,23,29,36,28,92,33,26,34,34
10:34:44,303,3.03,1,7253,23,26,29,20,18,32,48,36,95
10:34:46,314,3.14,1,7246,23,34,95,25,28,38,38,33,23
10:34:48,299,2.99,1,7234,23,36,37,100,34,23,21,26,23
10:34:50,303,3.03,1,7241,23,39,37,100,27,28,25,32,16
10:34:52,312,3.12,1,7249,23,38,21,97,28,30,49,30,21
10:34:54,305,3.05,1,7247,23,24,25,32,31,33,100,28,32
