nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 09:30:47      312   ( 3.1 cores)    0/8         7128      23%
>> 09:30:49      317   ( 3.2 cores)    0/8         7128      23%
>> 09:30:51      301   ( 3.0 cores)    0/8         7136      23%
>> 09:30:53      314   ( 3.1 cores)    0/8         7152      23%
>> 09:30:55      309   ( 3.1 cores)    0/8         7126      23%
>> 09:30:57      314   ( 3.1 cores)    1/8         7127      23%
>> 09:30:59      314   ( 3.1 cores)    0/8         7105      23%
>> 09:31:01      306   ( 3.1 cores)    1/8         7095      23%
>> 09:31:03      308   ( 3.1 cores)    0/8         7105      23%
>> 09:31:05      324   ( 3.2 cores)    0/8         7110      23%
>> 09:31:07      304   ( 3.0 cores)    1/8         7110      23%
>> 09:31:09      321   ( 3.2 cores)    0/8         7114      23%
>> 09:31:11      324   ( 3.2 cores)    0/8         7112      23%
>> 09:31:13      317   ( 3.2 cores)    0/8         7110      23%
>> 09:31:15      312   ( 3.1 cores)    1/8         7134      23%
>> 09:31:17      314   ( 3.1 cores)    0/8         7136      23%
>> 09:31:19      314   ( 3.1 cores)    0/8         7113      23%
>> 09:31:21      302   ( 3.0 cores)    0/8         7111      23%
>> 09:31:23      310   ( 3.1 cores)    0/8         7115      23%
>> 09:31:25      309   ( 3.1 cores)    0/8         7114      23%
>> 09:31:27      306   ( 3.1 cores)    1/8         7115      23%
>> 09:31:29      407   ( 4.1 cores)    1/8         7207      23%
>> 09:31:31      401   ( 4.0 cores)    1/8         7132      23%
>> 09:31:33      311   ( 3.1 cores)    0/8         7135      23%
>> 09:31:35      316   ( 3.2 cores)    1/8         7130      23%
>> 09:31:37      328   ( 3.3 cores)    1/8         7129      23%
>> 09:31:39      307   ( 3.1 cores)    0/8         7132      23%
>> 09:31:41      320   ( 3.2 cores)    0/8         7122      23%
>> 09:31:43      315   ( 3.2 cores)    0/8         7124      23%
>> 09:31:45      312   ( 3.1 cores)    1/8         7128      23%
>> 09:31:47      321   ( 3.2 cores)    0/8         7135      23%
>> 09:31:49      304   ( 3.0 cores)    0/8         7136      23%
>> 09:31:51      321   ( 3.2 cores)    1/8         7112      23%
>> 09:31:53      316   ( 3.2 cores)    1/8         7117      23%
>> 09:31:55      306   ( 3.1 cores)    0/8         7124      23%
>> 09:31:57      306   ( 3.1 cores)    0/8         7132      23%
>> 09:31:59      331   ( 3.3 cores)    0/8         7140      23%
>> 09:32:01      322   ( 3.2 cores)    0/8         7127      23%
>> 09:32:03      308   ( 3.1 cores)    0/8         7131      23%
>> 09:32:05      315   ( 3.2 cores)    0/8         7132      23%
>> 09:32:07      301   ( 3.0 cores)    0/8         7133      23%
>> 09:32:09      343   ( 3.4 cores)    0/8         7140      23%
>> 09:32:11      315   ( 3.2 cores)    0/8         7141      23%
>> 09:32:13      330   ( 3.3 cores)    0/8         7172      23%
>> 09:32:15      377   ( 3.8 cores)    1/8         7114      23%
>> 09:32:17      306   ( 3.1 cores)    0/8         7126      23%
>> 09:32:19      307   ( 3.1 cores)    0/8         7140      23%
>> 09:32:21      316   ( 3.2 cores)    0/8         7131      23%
>> 09:32:23      313   ( 3.1 cores)    0/8         7141      23%
>> 09:32:25      308   ( 3.1 cores)    0/8         7116      23%
>> 09:32:27      312   ( 3.1 cores)    0/8         7129      23%
>> 09:32:29      357   ( 3.6 cores)    0/8         7155      23%
>> 09:32:31      385   ( 3.9 cores)    0/8         7132      23%
>> 09:32:33      403   ( 4.0 cores)    2/8         7136      23%
>> 09:32:35      322   ( 3.2 cores)    0/8         7131      23%
>> 09:32:37      322   ( 3.2 cores)    1/8         7122      23%
>> 09:32:39      297   ( 3.0 cores)    0/8         7130      23%
>> 09:32:41      315   ( 3.1 cores)    0/8         7116      23%
>> 09:32:43      321   ( 3.2 cores)    0/8         7129      23%
>> 09:32:45      317   ( 3.2 cores)    0/8         7141      23%
>> 09:32:47      377   ( 3.8 cores)    0/8         7144      23%
>> 09:32:49      298   ( 3.0 cores)    0/8         7143      23%
>> 09:32:51      315   ( 3.1 cores)    0/8         7135      23%
>> 09:32:53      309   ( 3.1 cores)    0/8         7135      23%
>> 09:32:55      305   ( 3.0 cores)    0/8         7158      23%
>> 09:32:57      309   ( 3.1 cores)    1/8         7128      23%
>> 09:32:59      327   ( 3.3 cores)    0/8         7127      23%
>> 09:33:01      315   ( 3.2 cores)    1/8         7127      23%
>> 09:33:03      297   ( 3.0 cores)    1/8         7132      23%
>> 09:33:05      317   ( 3.2 cores)    1/8         7141      23%
>> 09:33:07      306   ( 3.1 cores)    0/8         7144      23%
>> 09:33:09      312   ( 3.1 cores)    1/8         7143      23%
>> 09:33:11      330   ( 3.3 cores)    0/8         7119      23%
>> 09:33:13      321   ( 3.2 cores)    1/8         7126      23%
>> 09:33:15      303   ( 3.0 cores)    1/8         7125      23%
>> 09:33:17      313   ( 3.1 cores)    0/8         7143      23%
>> 09:33:19      305   ( 3.1 cores)    0/8         7146      23%
>> 09:33:21      316   ( 3.2 cores)    1/8         7119      23%
>> 09:33:23      309   ( 3.1 cores)    0/8         7118      23%
>> 09:33:25      309   ( 3.1 cores)    0/8         7127      23%
>> 09:33:27      330   ( 3.3 cores)    0/8         7119      23%
>> 09:33:29      304   ( 3.0 cores)    0/8         7127      23%
>> 09:33:31      323   ( 3.2 cores)    0/8         7120      23%
>> 09:33:33      337   ( 3.4 cores)    1/8         7125      23%
>> 09:33:35      415   ( 4.2 cores)    1/8         7243      23%
>> 09:33:37      334   ( 3.3 cores)    1/8         7125      23%
>> 09:33:39      329   ( 3.3 cores)    0/8         7137      23%
>> 09:33:41      354   ( 3.5 cores)    0/8         7112      23%
