nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 10:20:55      313   ( 3.1 cores)    1/8         7208      23%
>> 10:20:57      318   ( 3.2 cores)    1/8         7208      23%
>> 10:20:59      305   ( 3.0 cores)    1/8         7192      23%
>> 10:21:01      300   ( 3.0 cores)    0/8         7193      23%
>> 10:21:03      302   ( 3.0 cores)    0/8         7200      23%
>> 10:21:05      317   ( 3.2 cores)    0/8         7202      23%
>> 10:21:07      304   ( 3.0 cores)    0/8         7208      23%
>> 10:21:09      306   ( 3.1 cores)    1/8         7218      23%
>> 10:21:11      311   ( 3.1 cores)    1/8         7226      23%
>> 10:21:13      307   ( 3.1 cores)    1/8         7219      23%
>> 10:21:15      310   ( 3.1 cores)    1/8         7212      23%
>> 10:21:17      305   ( 3.1 cores)    0/8         7217      23%
>> 10:21:19      294   ( 2.9 cores)    0/8         7227      23%
>> 10:21:21      317   ( 3.2 cores)    0/8         7238      23%
>> 10:21:23      300   ( 3.0 cores)    0/8         7238      23%
>> 10:21:25      299   ( 3.0 cores)    1/8         7230      23%
>> 10:21:27      378   ( 3.8 cores)    1/8         7217      23%
>> 10:21:29      411   ( 4.1 cores)    1/8         7207      23%
>> 10:21:31      316   ( 3.2 cores)    0/8         7209      23%
>> 10:21:33      307   ( 3.1 cores)    1/8         7208      23%
>> 10:21:35      355   ( 3.6 cores)    0/8         7211      23%
>> 10:21:37      308   ( 3.1 cores)    1/8         7208      23%
>> 10:21:39      333   ( 3.3 cores)    1/8         7219      23%
>> 10:21:41      330   ( 3.3 cores)    1/8         7222      23%
>> 10:21:43      303   ( 3.0 cores)    1/8         7228      23%
>> 10:21:45      312   ( 3.1 cores)    1/8         7220      23%
>> 10:21:47      306   ( 3.1 cores)    1/8         7211      23%
>> 10:21:49      305   ( 3.0 cores)    0/8         7222      23%
>> 10:21:51      306   ( 3.1 cores)    0/8         7218      23%
>> 10:21:53      321   ( 3.2 cores)    1/8         7232      23%
>> 10:21:55      319   ( 3.2 cores)    1/8         7215      23%
>> 10:21:57      322   ( 3.2 cores)    1/8         7217      23%
>> 10:21:59      300   ( 3.0 cores)    1/8         7229      23%
>> 10:22:01      315   ( 3.1 cores)    1/8         7201      23%
>> 10:22:03      302   ( 3.0 cores)    0/8         7209      23%
>> 10:22:05      313   ( 3.1 cores)    0/8         7210      23%
>> 10:22:07      309   ( 3.1 cores)    0/8         7213      23%
>> 10:22:09      302   ( 3.0 cores)    1/8         7200      23%
>> 10:22:11      316   ( 3.2 cores)    1/8         7214      23%
>> 10:22:13      309   ( 3.1 cores)    1/8         7217      23%
>> 10:22:15      365   ( 3.7 cores)    1/8         7198      23%
>> 10:22:17      318   ( 3.2 cores)    1/8         7198      23%
>> 10:22:19      299   ( 3.0 cores)    1/8         7201      23%
>> 10:22:21      318   ( 3.2 cores)    0/8         7207      23%
>> 10:22:23      311   ( 3.1 cores)    0/8         7217      23%
>> 10:22:25      302   ( 3.0 cores)    1/8         7225      23%
>> 10:22:27      324   ( 3.2 cores)    1/8         7209      23%
>> 10:22:29      350   ( 3.5 cores)    1/8         7238      23%
>> 10:22:31      426   ( 4.3 cores)    2/8         7486      24%
>> 10:22:33      317   ( 3.2 cores)    0/8         7212      23%
>> 10:22:35      351   ( 3.5 cores)    1/8         7218      23%
>> 10:22:37      322   ( 3.2 cores)    1/8         7217      23%
>> 10:22:39      307   ( 3.1 cores)    0/8         7210      23%
>> 10:22:41      306   ( 3.1 cores)    1/8         7217      23%
>> 10:22:43      302   ( 3.0 cores)    1/8         7218      23%
>> 10:22:45      316   ( 3.2 cores)    1/8         7221      23%
>> 10:22:47      310   ( 3.1 cores)    0/8         7206      23%
>> 10:22:49      312   ( 3.1 cores)    0/8         7212      23%
>> 10:22:51      307   ( 3.1 cores)    0/8         7216      23%
>> 10:22:53      300   ( 3.0 cores)    0/8         7220      23%
>> 10:22:55      307   ( 3.1 cores)    1/8         7226      23%
>> 10:22:57      331   ( 3.3 cores)    1/8         7223      23%
>> 10:22:59      332   ( 3.3 cores)    1/8         7213      23%
>> 10:23:01      341   ( 3.4 cores)    1/8         7198      23%
>> 10:23:03      315   ( 3.1 cores)    1/8         7206      23%
>> 10:23:05      303   ( 3.0 cores)    0/8         7211      23%
>> 10:23:07      322   ( 3.2 cores)    0/8         7215      23%
>> 10:23:09      300   ( 3.0 cores)    0/8         7212      23%
>> 10:23:12      305   ( 3.0 cores)    0/8         7224      23%
>> 10:23:14      322   ( 3.2 cores)    1/8         7231      23%
>> 10:23:16      306   ( 3.1 cores)    1/8         7240      23%
>> 10:23:18      322   ( 3.2 cores)    1/8         7217      23%
>> 10:23:20      309   ( 3.1 cores)    1/8         7202      23%
>> 10:23:22      308   ( 3.1 cores)    0/8         7213      23%
>> 10:23:24      308   ( 3.1 cores)    0/8         7216      23%
>> 10:23:26      319   ( 3.2 cores)    1/8         7197      23%
>> 10:23:28      321   ( 3.2 cores)    0/8         7215      23%
>> 10:23:30      333   ( 3.3 cores)    1/8         7215      23%
>> 10:23:32      309   ( 3.1 cores)    1/8         7219      23%
>> 10:23:34      429   ( 4.3 cores)    2/8         7404      24%
>> 10:23:36      384   ( 3.8 cores)    1/8         7211      23%
>> 10:23:38      326   ( 3.3 cores)    1/8         7217      23%
>> 10:23:40      309   ( 3.1 cores)    1/8         7231      23%
>> 10:23:42      309   ( 3.1 cores)    0/8         7231      23%
>> 10:23:44      306   ( 3.1 cores)    0/8         7234      23%
>> 10:23:46      310   ( 3.1 cores)    0/8         7223      23%
>> 10:23:48      313   ( 3.1 cores)    1/8         7217      23%
>> 10:23:50      303   ( 3.0 cores)    1/8         7219      23%
>> 10:23:52      317   ( 3.2 cores)    1/8         7231      23%
>> 10:23:54      297   ( 3.0 cores)    1/8         7220      23%
>> 10:23:56      295   ( 2.9 cores)    1/8         7228      23%
>> 10:23:58      307   ( 3.1 cores)    1/8         7224      23%
>> 10:24:00      307   ( 3.1 cores)    0/8         7222      23%
>> 10:24:02      301   ( 3.0 cores)    0/8         7215      23%
>> 10:24:04      319   ( 3.2 cores)    0/8         7224      23%
>> 10:24:06      306   ( 3.1 cores)    0/8         7227      23%
>> 10:24:08      335   ( 3.3 cores)    1/8         7220      23%
>> 10:24:10      311   ( 3.1 cores)    1/8         7227      23%
>> 10:24:12      306   ( 3.1 cores)    1/8         7237      23%
>> 10:24:14      305   ( 3.1 cores)    1/8         7228      23%
>> 10:24:16      320   ( 3.2 cores)    1/8         7228      23%
>> 10:24:18      313   ( 3.1 cores)    1/8         7222      23%
>> 10:24:20      312   ( 3.1 cores)    1/8         7219      23%
>> 10:24:22      307   ( 3.1 cores)    0/8         7220      23%
>> 10:24:24      310   ( 3.1 cores)    1/8         7204      23%
>> 10:24:26      300   ( 3.0 cores)    0/8         7213      23%
>> 10:24:28      332   ( 3.3 cores)    1/8         7216      23%
>> 10:24:30      307   ( 3.1 cores)    1/8         7210      23%
>> 10:24:32      303   ( 3.0 cores)    1/8         7212      23%
>> 10:24:34      307   ( 3.1 cores)    1/8         7216      23%
>> 10:24:36      426   ( 4.3 cores)    1/8         7289      23%
>> 10:24:38      397   ( 4.0 cores)    0/8         7213      23%
>> 10:24:40      317   ( 3.2 cores)    0/8         7219      23%
>> 10:24:42      306   ( 3.1 cores)    0/8         7218      23%
>> 10:24:44      309   ( 3.1 cores)    0/8         7214      23%
>> 10:24:46      311   ( 3.1 cores)    0/8         7221      23%
>> 10:24:48      301   ( 3.0 cores)    1/8         7228      23%
>> 10:24:50      307   ( 3.1 cores)    1/8         7209      23%
>> 10:24:52      303   ( 3.0 cores)    1/8         7225      23%
>> 10:24:54      314   ( 3.1 cores)    1/8         7214      23%
>> 10:24:56      303   ( 3.0 cores)    1/8         7221      23%
>> 10:24:58      310   ( 3.1 cores)    0/8         7229      23%
>> 10:25:00      306   ( 3.1 cores)    1/8         7206      23%
>> 10:25:02      299   ( 3.0 cores)    0/8         7213      23%
>> 10:25:04      306   ( 3.1 cores)    1/8         7219      23%
>> 10:25:06      308   ( 3.1 cores)    0/8         7221      23%
>> 10:25:08      326   ( 3.3 cores)    1/8         7204      23%
>> 10:25:10      323   ( 3.2 cores)    1/8         7218      23%
>> 10:25:12      304   ( 3.0 cores)    1/8         7224      23%
>> 10:25:14      314   ( 3.1 cores)    1/8         7214      23%
>> 10:25:16      307   ( 3.1 cores)    1/8         7215      23%
>> 10:25:18      315   ( 3.2 cores)    1/8         7222      23%
>> 10:25:20      324   ( 3.2 cores)    0/8         7226      23%
>> 10:25:22      300   ( 3.0 cores)    0/8         7234      23%
>> 10:25:24      309   ( 3.1 cores)    1/8         7223      23%
>> 10:25:26      298   ( 3.0 cores)    0/8         7224      23%
>> 10:25:28      376   ( 3.8 cores)    1/8         7213      23%
>> 10:25:30      324   ( 3.2 cores)    1/8         7198      23%
>> 10:25:32      312   ( 3.1 cores)    1/8         7208      23%
>> 10:25:34      303   ( 3.0 cores)    1/8         7215      23%
>> 10:25:36      341   ( 3.4 cores)    1/8         7218      23%
>> 10:25:38      378   ( 3.8 cores)    1/8         7235      23%
>> 10:25:40      441   ( 4.4 cores)    2/8         7212      23%
>> 10:25:42      309   ( 3.1 cores)    0/8         7219      23%
>> 10:25:44      308   ( 3.1 cores)    1/8         7222      23%
>> 10:25:46      306   ( 3.1 cores)    0/8         7232      23%
>> 10:25:48      308   ( 3.1 cores)    1/8         7223      23%
>> 10:25:50      313   ( 3.1 cores)    0/8         7216      23%
>> 10:25:52      323   ( 3.2 cores)    1/8         7231      23%
>> 10:25:54      298   ( 3.0 cores)    1/8         7232      23%
>> 10:25:56      304   ( 3.0 cores)    1/8         7234      23%
>> 10:25:58      329   ( 3.3 cores)    1/8         7233      23%
>> 10:26:00      321   ( 3.2 cores)    1/8         7215      23%
>> 10:26:02      329   ( 3.3 cores)    1/8         7216      23%
>> 10:26:04      301   ( 3.0 cores)    1/8         7226      23%
>> 10:26:06      303   ( 3.0 cores)    1/8         7215      23%
>> 10:26:08      309   ( 3.1 cores)    0/8         7219      23%
>> 10:26:10      303   ( 3.0 cores)    1/8         7226      23%
>> 10:26:12      304   ( 3.0 cores)    0/8         7223      23%
>> 10:26:14      313   ( 3.1 cores)    0/8         7227      23%
>> 10:26:16      307   ( 3.1 cores)    1/8         7225      23%
>> 10:26:18      307   ( 3.1 cores)    1/8         7217      23%
>> 10:26:20      306   ( 3.1 cores)    1/8         7202      23%
>> 10:26:22      310   ( 3.1 cores)    1/8         7209      23%
>> 10:26:24      365   ( 3.7 cores)    1/8         7214      23%
>> 10:26:26      315   ( 3.2 cores)    1/8         7213      23%
>> 10:26:28      304   ( 3.0 cores)    1/8         7218      23%
>> 10:26:30      308   ( 3.1 cores)    1/8         7206      23%
>> 10:26:32      305   ( 3.1 cores)    1/8         7217      23%
>> 10:26:34      309   ( 3.1 cores)    0/8         7217      23%
>> 10:26:36      331   ( 3.3 cores)    0/8         7224      23%
>> 10:26:38      317   ( 3.2 cores)    0/8         7219      23%
>> 10:26:40      369   ( 3.7 cores)    1/8         7224      23%
>> 10:26:42      439   ( 4.4 cores)    2/8         7479      24%
>> 10:26:44      329   ( 3.3 cores)    1/8         7222      23%
>> 10:26:46      316   ( 3.2 cores)    1/8         7230      23%
>> 10:26:48      304   ( 3.0 cores)    1/8         7231      23%
>> 10:26:50      298   ( 3.0 cores)    1/8         7221      23%
>> 10:26:52      315   ( 3.2 cores)    1/8         7230      23%
>> 10:26:54      302   ( 3.0 cores)    1/8         7225      23%
>> 10:26:56      304   ( 3.0 cores)    1/8         7221      23%
>> 10:26:58      301   ( 3.0 cores)    1/8         7225      23%
>> 10:27:00      301   ( 3.0 cores)    0/8         7231      23%
>> 10:27:02      307   ( 3.1 cores)    1/8         7212      23%
>> 10:27:04      311   ( 3.1 cores)    0/8         7222      23%
>> 10:27:06      320   ( 3.2 cores)    1/8         7209      23%
>> 10:27:08      318   ( 3.2 cores)    0/8         7231      23%
>> 10:27:10      302   ( 3.0 cores)    0/8         7216      23%
>> 10:27:12      310   ( 3.1 cores)    0/8         7215      23%
>> 10:27:14      308   ( 3.1 cores)    1/8         7199      23%
>> 10:27:16      310   ( 3.1 cores)    1/8         7212      23%
>> 10:27:18      306   ( 3.1 cores)    1/8         7234      23%
>> 10:27:20      306   ( 3.1 cores)    1/8         7226      23%
>> 10:27:22      309   ( 3.1 cores)    1/8         7222      23%
>> 10:27:24      316   ( 3.2 cores)    1/8         7222      23%
>> 10:27:26      306   ( 3.1 cores)    1/8         7212      23%
>> 10:27:28      307   ( 3.1 cores)    0/8         7223      23%
>> 10:27:30      379   ( 3.8 cores)    0/8         7234      23%
>> 10:27:32      309   ( 3.1 cores)    0/8         7212      23%
>> 10:27:34      310   ( 3.1 cores)    0/8         7209      23%
>> 10:27:36      343   ( 3.4 cores)    1/8         7209      23%
>> 10:27:38      307   ( 3.1 cores)    0/8         7213      23%
>> 10:27:40      313   ( 3.1 cores)    1/8         7221      23%
>> 10:27:42      307   ( 3.1 cores)    0/8         7214      23%
>> 10:27:44      433   ( 4.3 cores)    2/8         7401      24%
>> 10:27:46      354   ( 3.5 cores)    1/8         7229      23%
>> 10:27:48      306   ( 3.1 cores)    1/8         7242      23%
>> 10:27:50      304   ( 3.0 cores)    1/8         7245      23%
>> 10:27:52      306   ( 3.1 cores)    1/8         7222      23%
>> 10:27:54      301   ( 3.0 cores)    1/8         7227      23%
>> 10:27:56      308   ( 3.1 cores)    0/8         7213      23%
>> 10:27:58      308   ( 3.1 cores)    1/8         7223      23%
>> 10:28:00      309   ( 3.1 cores)    0/8         7214      23%
>> 10:28:02      304   ( 3.0 cores)    0/8         7215      23%
>> 10:28:04      314   ( 3.1 cores)    0/8         7218      23%
>> 10:28:06      298   ( 3.0 cores)    1/8         7217      23%
>> 10:28:08      312   ( 3.1 cores)    1/8         7220      23%
>> 10:28:10      315   ( 3.2 cores)    0/8         7224      23%
>> 10:28:12      313   ( 3.1 cores)    1/8         7213      23%
>> 10:28:14      302   ( 3.0 cores)    1/8         7218      23%
>> 10:28:16      303   ( 3.0 cores)    1/8         7217      23%
>> 10:28:18      302   ( 3.0 cores)    1/8         7232      23%
>> 10:28:20      311   ( 3.1 cores)    1/8         7226      23%
>> 10:28:22      314   ( 3.1 cores)    1/8         7209      23%
>> 10:28:24      306   ( 3.1 cores)    1/8         7213      23%
>> 10:28:26      303   ( 3.0 cores)    1/8         7218      23%
>> 10:28:28      296   ( 3.0 cores)    1/8         7214      23%
>> 10:28:30      314   ( 3.1 cores)    0/8         7219      23%
>> 10:28:32      310   ( 3.1 cores)    0/8         7204      23%
>> 10:28:34      301   ( 3.0 cores)    0/8         7205      23%
>> 10:28:36      346   ( 3.5 cores)    1/8         7230      23%
>> 10:28:38      305   ( 3.0 cores)    0/8         7236      23%
>> 10:28:40      315   ( 3.1 cores)    1/8         7229      23%
>> 10:28:42      312   ( 3.1 cores)    0/8         7218      23%
>> 10:28:44      318   ( 3.2 cores)    1/8         7218      23%
>> 10:28:46      410   ( 4.1 cores)    0/8         7277      23%
>> 10:28:48      379   ( 3.8 cores)    1/8         7237      23%
>> 10:28:50      301   ( 3.0 cores)    1/8         7237      23%
>> 10:28:52      312   ( 3.1 cores)    1/8         7213      23%
>> 10:28:54      310   ( 3.1 cores)    1/8         7221      23%
>> 10:28:56      303   ( 3.0 cores)    1/8         7225      23%
>> 10:28:58      306   ( 3.1 cores)    1/8         7223      23%
>> 10:29:00      308   ( 3.1 cores)    1/8         7217      23%
>> 10:29:02      331   ( 3.3 cores)    1/8         7220      23%
>> 10:29:04      310   ( 3.1 cores)    1/8         7211      23%
>> 10:29:06      305   ( 3.1 cores)    1/8         7215      23%
>> 10:29:08      303   ( 3.0 cores)    1/8         7226      23%
>> 10:29:10      313   ( 3.1 cores)    1/8         7207      23%
>> 10:29:12      335   ( 3.3 cores)    0/8         7220      23%
>> 10:29:14      307   ( 3.1 cores)    0/8         7209      23%
>> 10:29:16      313   ( 3.1 cores)    0/8         7227      23%
>> 10:29:18      306   ( 3.1 cores)    0/8         7230      23%
>> 10:29:20      310   ( 3.1 cores)    1/8         7232      23%
>> 10:29:22      311   ( 3.1 cores)    1/8         7239      23%
>> 10:29:24      316   ( 3.2 cores)    1/8         7210      23%
>> 10:29:26      305   ( 3.0 cores)    0/8         7218      23%
>> 10:29:28      307   ( 3.1 cores)    1/8         7219      23%
>> 10:29:30      310   ( 3.1 cores)    1/8         7226      23%
>> 10:29:32      301   ( 3.0 cores)    1/8         7226      23%
>> 10:29:34      327   ( 3.3 cores)    0/8         7209      23%
>> 10:29:36      339   ( 3.4 cores)    1/8         7213      23%
>> 10:29:38      313   ( 3.1 cores)    1/8         7229      23%
>> 10:29:40      321   ( 3.2 cores)    1/8         7228      23%
>> 10:29:42      308   ( 3.1 cores)    1/8         7236      23%
>> 10:29:44      332   ( 3.3 cores)    1/8         7234      23%
>> 10:29:46      326   ( 3.3 cores)    1/8         7231      23%
>> 10:29:48      368   ( 3.7 cores)    1/8         7233      23%
>> 10:29:50      416   ( 4.2 cores)    2/8         7235      23%
>> 10:29:52      299   ( 3.0 cores)    1/8         7237      23%
>> 10:29:54      314   ( 3.1 cores)    0/8         7233      23%
>> 10:29:56      314   ( 3.1 cores)    0/8         7242      23%
>> 10:29:58      307   ( 3.1 cores)    0/8         7246      23%
>> 10:30:00      407   ( 4.1 cores)    1/8         7247      23%
>> 10:30:02      301   ( 3.0 cores)    0/8         7228      23%
>> 10:30:04      304   ( 3.0 cores)    0/8         7219      23%
>> 10:30:06      299   ( 3.0 cores)    1/8         7218      23%
>> 10:30:08      304   ( 3.0 cores)    0/8         7208      23%
>> 10:30:10      318   ( 3.2 cores)    1/8         7212      23%
>> 10:30:12      298   ( 3.0 cores)    0/8         7213      23%
>> 10:30:14      321   ( 3.2 cores)    1/8         7272      23%
>> 10:30:16      369   ( 3.7 cores)    1/8         7211      23%
>> 10:30:18      300   ( 3.0 cores)    1/8         7220      23%
>> 10:30:20      305   ( 3.0 cores)    0/8         7223      23%
>> 10:30:22      311   ( 3.1 cores)    1/8         7222      23%
>> 10:30:24      307   ( 3.1 cores)    1/8         7218      23%
>> 10:30:26      313   ( 3.1 cores)    1/8         7225      23%
>> 10:30:28      298   ( 3.0 cores)    1/8         7231      23%
>> 10:30:30      324   ( 3.2 cores)    1/8         7225      23%
>> 10:30:32      302   ( 3.0 cores)    1/8         7237      23%
>> 10:30:34      311   ( 3.1 cores)    1/8         7224      23%
>> 10:30:36      342   ( 3.4 cores)    1/8         7215      23%
>> 10:30:38      300   ( 3.0 cores)    1/8         7214      23%
>> 10:30:40      317   ( 3.2 cores)    1/8         7204      23%
>> 10:30:42      303   ( 3.0 cores)    1/8         7212      23%
>> 10:30:44      317   ( 3.2 cores)    1/8         7215      23%
>> 10:30:46      310   ( 3.1 cores)    1/8         7219      23%
>> 10:30:48      310   ( 3.1 cores)    1/8         7216      23%
>> 10:30:50      341   ( 3.4 cores)    1/8         7231      23%
>> 10:30:52      425   ( 4.3 cores)    1/8         7501      24%
>> 10:30:54      343   ( 3.4 cores)    1/8         7237      23%
>> 10:30:56      317   ( 3.2 cores)    1/8         7242      23%
>> 10:30:58      302   ( 3.0 cores)    0/8         7243      23%
>> 10:31:00      312   ( 3.1 cores)    0/8         7241      23%
>> 10:31:02      378   ( 3.8 cores)    1/8         7244      23%
>> 10:31:04      334   ( 3.3 cores)    0/8         7220      23%
>> 10:31:06      310   ( 3.1 cores)    0/8         7234      23%
>> 10:31:08      310   ( 3.1 cores)    1/8         7234      23%
>> 10:31:10      318   ( 3.2 cores)    0/8         7240      23%
>> 10:31:12      302   ( 3.0 cores)    0/8         7235      23%
>> 10:31:14      366   ( 3.7 cores)    0/8         7220      23%
>> 10:31:16      296   ( 3.0 cores)    0/8         7230      23%
>> 10:31:18      304   ( 3.0 cores)    0/8         7240      23%
>> 10:31:20      313   ( 3.1 cores)    0/8         7229      23%
>> 10:31:22      327   ( 3.3 cores)    1/8         7236      23%
>> 10:31:24      318   ( 3.2 cores)    1/8         7235      23%
>> 10:31:26      335   ( 3.4 cores)    0/8         7223      23%
>> 10:31:28      315   ( 3.2 cores)    0/8         7223      23%
>> 10:31:30      303   ( 3.0 cores)    1/8         7228      23%
>> 10:31:32      300   ( 3.0 cores)    1/8         7231      23%
>> 10:31:34      301   ( 3.0 cores)    1/8         7236      23%
>> 10:31:36      338   ( 3.4 cores)    1/8         7223      23%
>> 10:31:38      328   ( 3.3 cores)    1/8         7236      23%
>> 10:31:40      313   ( 3.1 cores)    1/8         7234      23%
>> 10:31:42      291   ( 2.9 cores)    1/8         7237      23%
>> 10:31:44      312   ( 3.1 cores)    1/8         7238      23%
>> 10:31:46      322   ( 3.2 cores)    1/8         7232      23%
>> 10:31:48      303   ( 3.0 cores)    1/8         7240      23%
>> 10:31:50      307   ( 3.1 cores)    1/8         7243      23%
>> 10:31:52      305   ( 3.0 cores)    1/8         7232      23%
>> 10:31:54      431   ( 4.3 cores)    2/8         7410      24%
>> 10:31:56      368   ( 3.7 cores)    1/8         7232      23%
>> 10:31:58      314   ( 3.1 cores)    1/8         7241      23%
>> 10:32:00      312   ( 3.1 cores)    1/8         7237      23%
>> 10:32:02      299   ( 3.0 cores)    1/8         7243      23%
>> 10:32:04      312   ( 3.1 cores)    1/8         7243      23%
>> 10:32:06      311   ( 3.1 cores)    1/8         7232      23%
>> 10:32:08      310   ( 3.1 cores)    1/8         7232      23%
>> 10:32:10      308   ( 3.1 cores)    1/8         7235      23%
>> 10:32:12      315   ( 3.1 cores)    1/8         7231      23%
>> 10:32:14      325   ( 3.2 cores)    1/8         7234      23%
>> 10:32:16      315   ( 3.2 cores)    1/8         7244      23%
>> 10:32:18      299   ( 3.0 cores)    1/8         7245      23%
>> 10:32:20      328   ( 3.3 cores)    1/8         7247      23%
>> 10:32:22      318   ( 3.2 cores)    1/8         7252      23%
>> 10:32:24      309   ( 3.1 cores)    1/8         7255      23%
>> 10:32:26      310   ( 3.1 cores)    1/8         7241      23%
>> 10:32:28      310   ( 3.1 cores)    1/8         7242      23%
>> 10:32:30      307   ( 3.1 cores)    1/8         7241      23%
>> 10:32:32      303   ( 3.0 cores)    1/8         7239      23%
>> 10:32:34      326   ( 3.3 cores)    1/8         7232      23%
>> 10:32:36      348   ( 3.5 cores)    1/8         7233      23%
>> 10:32:38      308   ( 3.1 cores)    1/8         7239      23%
>> 10:32:40      303   ( 3.0 cores)    0/8         7241      23%
>> 10:32:42      313   ( 3.1 cores)    1/8         7224      23%
>> 10:32:44      304   ( 3.0 cores)    1/8         7238      23%
>> 10:32:46      327   ( 3.3 cores)    1/8         7226      23%
>> 10:32:48      302   ( 3.0 cores)    1/8         7231      23%
>> 10:32:50      300   ( 3.0 cores)    1/8         7239      23%
>> 10:32:52      313   ( 3.1 cores)    0/8         7241      23%
>> 10:32:54      303   ( 3.0 cores)    1/8         7231      23%
>> 10:32:56      413   ( 4.1 cores)    1/8         7284      23%
>> 10:32:58      391   ( 3.9 cores)    0/8         7243      23%
>> 10:33:00      298   ( 3.0 cores)    0/8         7240      23%
>> 10:33:02      305   ( 3.1 cores)    1/8         7243      23%
>> 10:33:04      294   ( 2.9 cores)    0/8         7254      23%
>> 10:33:06      307   ( 3.1 cores)    1/8         7230      23%
>> 10:33:08      300   ( 3.0 cores)    1/8         7232      23%
>> 10:33:10      314   ( 3.1 cores)    1/8         7242      23%
>> 10:33:12      313   ( 3.1 cores)    1/8         7239      23%
>> 10:33:14      310   ( 3.1 cores)    1/8         7251      23%
>> 10:33:16      310   ( 3.1 cores)    1/8         7239      23%
>> 10:33:18      307   ( 3.1 cores)    0/8         7245      23%
>> 10:33:20      305   ( 3.0 cores)    0/8         7254      23%
>> 10:33:22      309   ( 3.1 cores)    0/8         7253      23%
>> 10:33:24      309   ( 3.1 cores)    1/8         7255      23%
>> 10:33:26      307   ( 3.1 cores)    0/8         7236      23%
>> 10:33:28      311   ( 3.1 cores)    0/8         7250      23%
>> 10:33:30      300   ( 3.0 cores)    0/8         7250      23%
>> 10:33:32      318   ( 3.2 cores)    0/8         7254      23%
>> 10:33:34      339   ( 3.4 cores)    0/8         7249      23%
>> 10:33:36      387   ( 3.9 cores)    1/8         7220      23%
>> 10:33:38      350   ( 3.5 cores)    0/8         7225      23%
>> 10:33:40      292   ( 2.9 cores)    0/8         7231      23%
>> 10:33:42      310   ( 3.1 cores)    0/8         7242      23%
>> 10:33:44      300   ( 3.0 cores)    1/8         7248      23%
>> 10:33:46      317   ( 3.2 cores)    0/8         7234      23%
>> 10:33:48      303   ( 3.0 cores)    1/8         7225      23%
>> 10:33:50      301   ( 3.0 cores)    0/8         7238      23%
>> 10:33:52      322   ( 3.2 cores)    1/8         7230      23%
>> 10:33:54      301   ( 3.0 cores)    1/8         7234      23%
>> 10:33:56      315   ( 3.2 cores)    1/8         7226      23%
>> 10:33:58      373   ( 3.7 cores)    1/8         7241      23%
>> 10:34:00      431   ( 4.3 cores)    2/8         7248      23%
>> 10:34:02      329   ( 3.3 cores)    0/8         7229      23%
>> 10:34:04      309   ( 3.1 cores)    1/8         7234      23%
>> 10:34:06      315   ( 3.1 cores)    0/8         7228      23%
>> 10:34:08      319   ( 3.2 cores)    1/8         7240      23%
>> 10:34:10      330   ( 3.3 cores)    0/8         7244      23%
>> 10:34:12      310   ( 3.1 cores)    0/8         7235      23%
>> 10:34:14      318   ( 3.2 cores)    1/8         7235      23%
>> 10:34:16      305   ( 3.1 cores)    1/8         7239      23%
>> 10:34:18      313   ( 3.1 cores)    1/8         7245      23%
>> 10:34:20      324   ( 3.2 cores)    1/8         7253      23%
>> 10:34:22      308   ( 3.1 cores)    1/8         7238      23%
>> 10:34:24      313   ( 3.1 cores)    1/8         7242      23%
>> 10:34:26      308   ( 3.1 cores)    1/8         7244      23%
>> 10:34:28      318   ( 3.2 cores)    1/8         7232      23%
>> 10:34:30      319   ( 3.2 cores)    1/8         7239      23%
>> 10:34:32      314   ( 3.1 cores)    1/8         7244      23%
>> 10:34:34      322   ( 3.2 cores)    1/8         7253      23%
>> 10:34:36      340   ( 3.4 cores)    1/8         7244      23%
>> 10:34:38      304   ( 3.0 cores)    1/8         7239      23%
>> 10:34:40      310   ( 3.1 cores)    1/8         7242      23%
>> 10:34:42      311   ( 3.1 cores)    1/8         7251      23%
>> 10:34:44      303   ( 3.0 cores)    1/8         7253      23%
>> 10:34:46      314   ( 3.1 cores)    1/8         7246      23%
>> 10:34:48      299   ( 3.0 cores)    1/8         7234      23%
>> 10:34:50      303   ( 3.0 cores)    1/8         7241      23%
>> 10:34:52      312   ( 3.1 cores)    1/8         7249      23%
>> 10:34:54      305   ( 3.0 cores)    1/8         7247      23%
>> 10:34:56      303   ( 3.0 cores)    1/8         7248      23%
>> 10:34:58      314   ( 3.1 cores)    1/8         7235      23%
>> 10:35:00      332   ( 3.3 cores)    1/8         7260      23%
>> 10:35:02      422   ( 4.2 cores)    2/8         7511      24%
>> 10:35:04      337   ( 3.4 cores)    1/8         7257      23%
>> 10:35:06      309   ( 3.1 cores)    1/8         7246      23%
>> 10:35:08      317   ( 3.2 cores)    1/8         7234      23%
>> 10:35:10      307   ( 3.1 cores)    1/8         7251      23%
>> 10:35:12      319   ( 3.2 cores)    1/8         7249      23%
>> 10:35:14      300   ( 3.0 cores)    1/8         7238      23%
>> 10:35:16      352   ( 3.5 cores)    1/8         7280      23%
>> 10:35:18      465   ( 4.7 cores)    1/8         7425      24%
>> 10:35:20      423   ( 4.2 cores)    2/8         8473      27%
>> 10:35:22      420   ( 4.2 cores)    2/8         8524      27%
>> 10:35:24      415   ( 4.2 cores)    1/8         8483      27%
